market_name,market_slug,market_url,market_listed_count,facility_name,operator,street_address,locality,detail_url
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Vaultica STO01B,Vaultica Data Centers,Smedbyvagen 6,19430 Upplands Vasby,https://www.datacentermap.com/sweden/stockholm/stack-infrastructure-sto01b/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Videnca Datacenter,Videnca,Gjörwellsgatan 30,11260 Stockholm,https://www.datacentermap.com/sweden/stockholm/teknik-i/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Strängnäs AI Data Center,Brookfield Infrastructure Partners,"Gorsingeberget, E20",645 94 Strängnäs,https://www.datacentermap.com/sweden/stockholm/strangnas-ai-data-center/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Equinix SK1,Equinix,Mariehällsvägen 36,16865 Bromma,https://www.datacentermap.com/sweden/stockholm/telecity-stockholm/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Bahnof - Thule,Bahnhof,Tunnelgatan 2,111 37 Stockholm,https://www.datacentermap.com/sweden/stockholm/bahnhof-thule/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Bahnof - Gullan,Bahnhof,Österögatan 3,164 40 Kista,https://www.datacentermap.com/sweden/stockholm/bahnof-gullan/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Stokab KN7 - Östermalm,AB Stokab,Artillerigatan 60,114 45 Stockholm,https://www.datacentermap.com/sweden/stockholm/stokab-kn7-ostermalm/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Stokab KN6 - Hammarby,AB Stokab,Kalmgatan 4,121 45 Johanneshov,https://www.datacentermap.com/sweden/stockholm/stokab-kn6-hammarby/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Stokab KN3 - Kista,AB Stokab,Borgarfjordsgatan 15,164 40 Kista,https://www.datacentermap.com/sweden/stockholm/stokab-kn3-kista/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Stokab KN5 - Södermalm,AB Stokab,Zinkens Väg 47,117 41 Stockholm,https://www.datacentermap.com/sweden/stockholm/stokab-kn5-sodermalm/
