lanskod,lansnamn,facilities,operators
01,Stockholms län,49,22
21,Gävleborgs län,18,2
14,Västra Götalands län,12,10
12,Skåne län,8,7
25,Norrbottens län,7,6
04,Södermanlands län,4,3
20,Dalarnas län,3,2
05,Östergötlands län,2,2
10,Blekinge län,2,2
24,Västerbottens län,2,2
22,Västernorrlands län,2,2
19,Västmanlands län,2,2
13,Hallands län,1,1
06,Jönköpings län,1,1
07,Kronobergs län,1,1
